"","journal","impactfactor","JCR","filed"
"1","CA-A CANCER JOURNAL FOR CLINICIANS","503.1","Q1","ONCOLOGY"
"2","LANCET","98.4","Q1","MEDICINE, GENERAL & INTERNAL"
"3","NEW ENGLAND JOURNAL OF MEDICINE","96.2","Q1","MEDICINE, GENERAL & INTERNAL"
"4","BMJ-British Medical Journal","93.6","Q1","MEDICINE, GENERAL & INTERNAL"
"5","NATURE REVIEWS MOLECULAR CELL BIOLOGY","81.3","Q1","CELL BIOLOGY"
"6","Nature Reviews Clinical Oncology","81.1","Q1","ONCOLOGY"
"7","Nature Reviews Disease Primers","76.9","Q1","MEDICINE, GENERAL & INTERNAL"
"8","NATURE REVIEWS CANCER","72.5","Q1","ONCOLOGY"
"9","NATURE REVIEWS MICROBIOLOGY","69.2","Q1","MICROBIOLOGY"
"10","NATURE REVIEWS IMMUNOLOGY","67.7","Q1","IMMUNOLOGY"
"11","JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","63.1","Q1","MEDICINE, GENERAL & INTERNAL"
"12","World Psychiatry","60.5","Q1","PSYCHIATRY"
"13","NATURE MEDICINE","58.7","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"14","ANNALS OF ONCOLOGY","56.7","Q1","ONCOLOGY"
"15","HYPERTENSION","6.9","Q1","PERIPHERAL VASCULAR DISEASE"
"16","BIOMEDICINE & PHARMACOTHERAPY","6.9","Q1","PHARMACOLOGY & PHARMACY"
"17","MAYO CLINIC PROCEEDINGS","6.9","Q1","MEDICINE, GENERAL & INTERNAL"
"18","REVIEWS IN ENDOCRINE & METABOLIC DISORDERS","6.9","Q1","ENDOCRINOLOGY & METABOLISM"
"19","npj Vaccines","6.9","Q1","MEDICINE, RESEARCH & EXPERIMENTAL"
"20","Energy Research & Social Science","6.9","Q1","ENVIRONMENTAL STUDIES"
"21","ONCOGENE","6.9","Q1","ONCOLOGY"
"22","ACTA PHARMACOLOGICA SINICA","6.9","Q1","PHARMACOLOGY & PHARMACY"
"23","JOURNAL OF GASTROENTEROLOGY","6.9","Q1","GASTROENTEROLOGY & HEPATOLOGY"
"24","ARCHIVES OF PHARMACAL RESEARCH","6.9","Q1","PHARMACOLOGY & PHARMACY"
"25","Cold Spring Harbor Perspectives in Biology","6.9","Q1","CELL BIOLOGY"
"26","Genes & Diseases","6.9","Q1","GENETICS & HEREDITY"
"27","BLOOD REVIEWS","6.9","Q1","HEMATOLOGY"
"28","PROCESS SAFETY AND ENVIRONMENTAL PROTECTION","6.9","Q1","ENGINEERING, ENVIRONMENTAL"
"29","CURRENT OPINION IN CHEMICAL BIOLOGY","6.9","Q1","BIOPHYSICS"
"30","Alcohol Research-Current Reviews","6.8","Q1","SUBSTANCE ABUSE"
"31","JOURNAL OF MEDICINAL CHEMISTRY","6.8","Q1","CHEMISTRY, MEDICINAL"
"32","BRIEFINGS IN BIOINFORMATICS","6.8","Q1","MATHEMATICAL & COMPUTATIONAL BIOLOGY"
"33","METABOLIC ENGINEERING","6.8","Q1","BIOTECHNOLOGY & APPLIED MICROBIOLOGY"
"34","FOOD POLICY","6.8","Q1","NUTRITION & DIETETICS"
"35","BRITISH JOURNAL OF PHARMACOLOGY","6.8","Q1","PHARMACOLOGY & PHARMACY"
"36","Journal of Ginseng Research","6.8","Q1","INTEGRATIVE & COMPLEMENTARY MEDICINE"
"37","JOURNAL OF MEDICAL VIROLOGY","6.8","Q1","VIROLOGY"
"38","Annals of the American Thoracic Society","6.8","Q1","RESPIRATORY SYSTEM"
"39","Plant Stress","6.8","Q1","PLANT SCIENCES"
"40","npj Precision Oncology","6.8","Q1","ONCOLOGY"
"41","Diabetes & Metabolism Journal","6.8","Q1","ENDOCRINOLOGY & METABOLISM"
"42","Journal of Xenobiotics","6.8","Q1","TOXICOLOGY"
"43","International Journal of Bioprinting","6.8","Q1","MATERIALS SCIENCE, BIOMATERIALS"
"44","Child and Adolescent Mental Health","6.8","Q1","PSYCHOLOGY, CLINICAL"
"45","Wiley Interdisciplinary Reviews-Water","6.8","Q1","WATER RESOURCES"
"46","Journal of the American Nutrition Association","6.8","Q1","NUTRITION & DIETETICS"
"47","PHYTOMEDICINE","6.7","Q1","PLANT SCIENCES"
"48","IEEE Journal of Biomedical and Health Informatics","6.7","Q1","MEDICAL INFORMATICS"
"49","npj Parkinsons Disease","6.7","Q1","NEUROSCIENCES"
"50","European Heart Journal-Cardiovascular Imaging","6.7","Q1","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING"
"51","Current Opinion in Environmental Science & Health","6.7","Q1","ENVIRONMENTAL SCIENCES"
"52","GASTROINTESTINAL ENDOSCOPY","6.7","Q1","GASTROENTEROLOGY & HEPATOLOGY"
